Naive, Randomized, KMP, Boyer-Mooer, String.indexOf
7978745,7974427,11684653,2602836,22446
8447526,8451389,11643319,2765950,23194
9011442,8975182,12420520,2781376,31785
8651372,8551648,13138225,2740965,23182
8662475,8712146,12137376,2654461,22595
8523462,8481059,11820786,2635265,22475
8853031,8871184,12169495,2756680,24229
8380636,8385189,11944128,2667056,22548
8389956,8379850,11726826,2636686,22505
8693232,8681917,11513285,2497027,22107
8607054,8517354,12022657,2734714,23036
8862572,8884883,12309827,2754399,23423
8258938,8248957,11648552,2566232,22341
8318458,8388969,12205956,2735003,22574
8394493,8471162,11757015,2629738,22718
8552872,8533541,11885413,3518227,22408
8587881,8488189,12340683,2832428,22832
11280600,8826172,12492523,2745109,22877
9242112,9197371,12563353,2784101,24401
9311661,9210704,13190756,2880007,23707
9579067,9558786,13168250,2923221,25046
8910726,8775590,11789221,2577306,22642
10348460,9342435,12765194,2932027,24301
9159860,9222501,12817865,2889642,24244
8407448,8468413,11847157,2623545,22440
8590750,8701100,12575956,2906890,23614
8521590,8516487,12514190,2797236,29915
9669925,9635949,13250482,2902509,24314
9358738,9454237,13639010,2933747,23410
8728903,8769503,12381012,2770297,22710
8819984,8747073,12017874,2671503,22484
10135653,10135314,13820630,3093618,26207
9789303,9727637,13113448,2925606,24593
10093350,10121448,14069703,3095638,25973
9123946,8980809,13003602,2954900,23198
8635139,8628728,12668457,2774009,22430
8959293,8985283,12084131,2658441,22177
9379729,9272711,13162901,2925361,23194
10049909,9977820,13903963,3125738,26163
8967457,9034861,12188367,2769981,22981
9652929,9613644,13648825,3148429,24052
9421417,9411429,12925540,2773746,23041
8684927,8681597,12119321,2642457,22496
9353091,9382792,12903807,2918665,23953
9774136,9720145,13630320,3130639,25138
9042105,9128913,12475245,2744691,22700
9549528,9503946,13546211,2976681,24442
8721290,8618425,12344072,2772613,23118
8591443,8607129,12224468,2717935,22326
9638556,9722946,13650362,3075805,24958
8861553,8784691,12636276,2808265,22429
8762264,8799991,12550792,2753037,22183
8950778,9030515,12708356,2835413,34236
9126919,9040539,12577421,2794685,22654
8787129,8796684,12344018,2723792,22364
9797830,9667921,12982769,2846221,23357
